property_id,lat,lng,addr_street,suburb,number_of_houses,number_of_units,municipality,population,aus_born_perc,median_income,median_house_price,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag
51291,-37.782992,145.12193100000005,34 Rathmullen Quadrant,DONCASTER,7598.0,4243.0,Manningham,17447.0,58%,"$1,242","$1,446,200",MORELAND,20042,4.033222,22.0,1
75687,-37.90767288,145.0780335,13 Austin Street,HUGHESDALE,2268.0,2190.0,Monash,16280.0,65%,"$1,340","$1,374,600",BASS COAST,19917,1.214441,26.0,1
58378,-37.829966,145.15018500000005,9 Kalka Street,BLACKBURN,4821.0,2501.0,Whitehorse,27564.0,75%,"$1,387","$1,485,900",GREATER GEELONG,19898,1.101614,26.0,1
94290,-37.95844500000001,145.076596,14 Pebble Beach Place,HEATHERTON,1014.0,463.0,Kingston,1371.0,70%,"$1,752","$1,123,700",SOUTH GIPPSLAND,19866,2.138953,40.0,1
77108,-37.94745636,145.11451719999997,14 Rowson Grove,CLARINDA,2271.0,640.0,Kingston,19027.0,44%,"$1,116","$1,012,900",BULOKE,19914,2.356354,33.0,1
92295,-37.982958,145.05326499999995,41 Sea Parade,MENTONE,4507.0,3922.0,Kingston,14158.0,76%,"$1,288","$1,332,300",WEST WIMMERA,19865,1.051246,43.0,1
36889,-37.636201,145.032879,15 Maserati Drive,EPPING,13368.0,3047.0,Whittlesea,19624.0,73%,"$1,283","$673,200",FRANKSTON,20005,1.818112,51.0,1
79017,-37.93795776,145.15887450000002,37 Gray Street,SPRINGVALE,6280.0,4315.0,Greater Dandenong,18147.0,36%,$884,"$895,800",GREATER BENDIGO,19913,1.371116,36.0,1
89889,-37.974637,145.081178,11 Snowdon Drive,CHELTENHAM,8087.0,5856.0,Kingston,18907.0,74%,"$1,233","$1,167,300",YARRA RANGES,19865,1.619083,43.0,1
19742,-37.673412,144.901093,42 Toora Drive,WESTMEADOWS,2446.0,596.0,Hume,8623.0,74%,"$1,388","$684,900",LODDON,20030,1.952757,32.0,1
